[3, 4, 2, 4], 2.7946122375778937;
[2, 7, 5, 1], 2.8985147867592147;
[2, 5, 0, 3], 2.8985147867592183;
[5, 6, 7, 1], 2.898514786759217;
[4, 3, 5, 2], 2.8985147867592236;
[4, 5, 2, 2], 2.794612237577904;
[4, 7, 3, 5], 2.898514786759226;
[0, 7, 7, 0], 2.553404355215531;
[1, 5, 5, 4], 2.7946122375778977;
[6, 6, 5, 0], 2.794612237577903;
[3, 5, 2, 7], 2.8985147867592205;
[4, 0, 6, 6], 2.7946122375779052;
[0, 4, 7, 2], 2.898514786759219;
[5, 4, 1, 1], 2.794612237577908;
[5, 0, 0, 3], 2.794612237577908;
[6, 4, 5, 0], 2.898514786759219;
[1, 4, 6, 1], 2.7946122375779137;
[2, 5, 7, 4], 2.8985147867592227;
[0, 7, 6, 6], 2.794612237577904;
[2, 7, 7, 1], 2.7946122375779043;
[7, 1, 5, 2], 2.898514786759218;
[4, 1, 5, 6], 2.8985147867592134;
[2, 4, 7, 4], 2.7946122375778963;
[0, 5, 1, 6], 2.8985147867592227;
[2, 3, 0, 6], 2.898514786759219;
[2, 0, 6, 7], 2.8985147867592165;
[3, 5, 7, 1], 2.898514786759219;
[2, 7, 7, 3], 2.7946122375779026;
[1, 1, 4, 3], 2.794612237577906;
[3, 4, 4, 1], 2.794612237577897;
[5, 1, 2, 1], 2.794612237577896;
[6, 1, 3, 1], 2.7946122375779012;
[5, 1, 1, 3], 2.794612237577896;
[5, 7, 0, 7], 2.794612237577906;
[1, 5, 4, 0], 2.8985147867592174;
[1, 0, 3, 4], 2.8985147867592174;
[6, 3, 4, 6], 2.794612237577902;
[2, 5, 7, 0], 2.8985147867592165;
[4, 1, 3, 5], 2.8985147867592205;
[0, 7, 0, 7], 2.5534043552155232;
[2, 7, 6, 6], 2.7946122375779026;
[1, 6, 5, 0], 2.898514786759222;
[4, 1, 0, 5], 2.898514786759218;
[0, 2, 1, 4], 2.898514786759221;
[1, 6, 7, 4], 2.898514786759217;
[4, 1, 4, 7], 2.7946122375778972;
[1, 3, 4, 0], 2.8985147867592165;
[2, 1, 0, 2], 2.794612237577897;
[1, 1, 7, 2], 2.794612237577903;
[5, 6, 2, 4], 2.8985147867592187;
[0, 5, 4, 3], 2.8985147867592196;
[7, 0, 5, 2], 2.898514786759223;
[3, 7, 2, 5], 2.898514786759221;
[7, 6, 3, 5], 2.898514786759216;
[2, 2, 6, 0], 2.7946122375778972;
[6, 5, 4, 3], 2.898514786759217;
[0, 6, 0, 7], 2.794612237577904;
[1, 5, 6, 3], 2.8985147867592156;
[7, 3, 4, 6], 2.8985147867592196;
[7, 3, 1, 7], 2.7946122375778963;
[4, 2, 0, 5], 2.8985147867592254;
[5, 5, 0, 6], 2.7946122375778946;
[7, 3, 0, 1], 2.898514786759219;
[6, 5, 2, 5], 2.794612237577906;
[5, 3, 7, 0], 2.898514786759217;
[4, 5, 3, 0], 2.898514786759222;
[1, 2, 5, 5], 2.7946122375779012;
[7, 0, 5, 7], 2.794612237577897;
[4, 5, 6, 6], 2.7946122375779003;
[3, 7, 6, 5], 2.898514786759217;
[4, 4, 7, 3], 2.7946122375778972;
[5, 0, 5, 0], 2.553404355215511;
[1, 2, 5, 1], 2.7946122375779;
[6, 5, 7, 1], 2.898514786759215;
[0, 4, 1, 6], 2.8985147867592143;
[3, 4, 0, 0], 2.794612237577897;
[7, 5, 0, 6], 2.898514786759219;
[5, 0, 1, 0], 2.7946122375779026;
[6, 1, 5, 1], 2.79461223757791;
[6, 7, 5, 6], 2.7946122375779043;
[2, 0, 7, 0], 2.7946122375779052;
[6, 4, 3, 0], 2.8985147867592143;
[0, 0, 7, 3], 2.7946122375778986;
[1, 3, 5, 0], 2.8985147867592214;
[0, 0, 4, 4], 2.553404355215518;
[2, 4, 4, 6], 2.794612237577896;
[0, 1, 6, 4], 2.8985147867592094;
[0, 2, 2, 6], 2.7946122375779043;
[1, 4, 6, 3], 2.8985147867592134;
[2, 2, 6, 6], 2.5534043552155117;
[5, 7, 1, 1], 2.7946122375779083;
[0, 7, 0, 2], 2.7946122375779003;
[4, 7, 6, 0], 2.89851478675922;
[7, 1, 6, 7], 2.7946122375778986;
[2, 5, 1, 7], 2.8985147867592183;
[2, 4, 7, 5], 2.898514786759221;
[2, 1, 4, 0], 2.8985147867592187;
[2, 5, 5, 7], 2.7946122375779012;
[0, 6, 5, 4], 2.89851478675922;
[6, 1, 4, 6], 2.7946122375779017;
[2, 0, 3, 4], 2.8985147867592214;
[0, 7, 6, 1], 2.898514786759215;
[1, 2, 0, 3], 2.8985147867592165;
[2, 4, 4, 3], 2.794612237577902;
[6, 1, 6, 2], 2.794612237577904;
[5, 5, 6, 4], 2.7946122375778946;
[2, 1, 2, 4], 2.794612237577904;
[0, 4, 3, 2], 2.898514786759223;
[0, 3, 5, 4], 2.898514786759218;
[0, 7, 1, 6], 2.8985147867592187;
[3, 4, 3, 3], 2.4015138931003444;
[7, 6, 4, 5], 2.8985147867592214;
[3, 0, 7, 0], 2.794612237577895;
[7, 6, 4, 4], 2.7946122375778994;
[4, 4, 1, 4], 2.4015138931003497;
[6, 2, 0, 2], 2.7946122375778994;
[0, 1, 1, 0], 2.5534043552155166;
[0, 0, 1, 0], 2.4015138931003523;
[1, 5, 5, 5], 2.4015138931003475;
[5, 4, 7, 2], 2.8985147867592245;
[3, 3, 0, 2], 2.7946122375779034;
[7, 0, 1, 1], 2.7946122375778994;
[1, 6, 5, 3], 2.898514786759224;
[6, 2, 7, 1], 2.898514786759217;
[4, 5, 7, 1], 2.8985147867592174;
[6, 2, 6, 5], 2.7946122375779043;
[6, 5, 4, 2], 2.898514786759218;
[7, 2, 7, 7], 2.4015138931003492;
[0, 0, 0, 5], 2.4015138931003506;
[4, 5, 1, 4], 2.7946122375779074;
[4, 7, 3, 0], 2.898514786759218;
[5, 2, 7, 6], 2.8985147867592165;
[1, 7, 4, 3], 2.898514786759221;
[1, 3, 6, 5], 2.8985147867592183;
[0, 0, 1, 4], 2.7946122375779057;
[3, 0, 6, 0], 2.7946122375779057;
[5, 5, 2, 2], 2.553404355215514;
[4, 2, 4, 3], 2.7946122375779;
[7, 3, 4, 3], 2.7946122375778963;
[1, 7, 4, 6], 2.8985147867592187;
[6, 6, 2, 3], 2.7946122375779114;
[7, 5, 7, 6], 2.794612237577898;
[6, 5, 3, 1], 2.8985147867592165;
[5, 3, 0, 6], 2.898514786759222;
[3, 3, 4, 3], 2.4015138931003444;
[1, 5, 1, 0], 2.7946122375779066;
[3, 1, 7, 4], 2.898514786759223;
[4, 4, 4, 7], 2.4015138931003523;
[7, 4, 2, 4], 2.7946122375779;
[1, 1, 1, 6], 2.401513893100349;
[1, 4, 2, 3], 2.89851478675922;
[4, 4, 7, 4], 2.401513893100353;
[5, 4, 3, 5], 2.7946122375779034;
[6, 6, 0, 7], 2.794612237577902;
[1, 7, 5, 3], 2.8985147867592174;
[4, 1, 1, 6], 2.7946122375779106;
[7, 2, 2, 4], 2.7946122375779043;
[2, 7, 1, 7], 2.794612237577896;
[0, 4, 5, 4], 2.7946122375779012;
[3, 3, 1, 7], 2.794612237577899;
[4, 4, 2, 5], 2.7946122375778994;
[0, 4, 6, 1], 2.898514786759214;
[4, 2, 1, 5], 2.8985147867592165;
[3, 4, 5, 6], 2.898514786759213;
[2, 6, 5, 2], 2.7946122375779066;
[0, 4, 3, 0], 2.7946122375778955;
[1, 2, 2, 6], 2.7946122375778986;
[6, 7, 1, 5], 2.8985147867592147;
[0, 3, 1, 6], 2.8985147867592187;
[7, 3, 6, 2], 2.8985147867592183;
